Timeratio,evadiff
0.001782531,2.49
0.001828154,0.15
0.001669449,0.39
0.001926782,0.01
0,0.13
0.001669449,0.05
0.001724138,0.14
0.001677852,0.48
0,0
0.001669449,0.03
0.001680672,0.2
0.001769912,0.07
0.002028398,0.08
0.002487562,0.53
0.001715266,0.15
0.001675042,0.08
0.001677852,0.03
0.001724138,0.13
0.001964637,0.08
0.001841621,0.18
0,0
0.001686341,0
0.001692047,0.08
0.002493766,0.23
0,0
0,0
0,0.03
0.001694915,0
0.001697793,0.38
0.001934236,0.03
0,0.21
0,0.27
0.001686341,0
0.001683502,0.94
0.001686341,0.27
0,0.3
0,0.09
0.002155172,0
0.001757469,0.09
0.002415459,0
0,0.64
0,0
0,0
0.001669449,0.05
0,0.48
0,0
0,0
0,0
0.001669449,0.3
0.001672241,0.66
0.001675042,2.31
0.001683502,0
0.001712329,1.17
0.001757469,0.32
0,0.04
0.001838235,0
0.001912046,3.8
0.002053388,0.08
0.001821494,1.79
0.001669449,0.05
0.001689189,0.94
0.001763668,0.37
0,0
0.0025,0.27
0.001669449,0.37
0,0.08
0.002207506,0.07
0,0.08
0,0.04
0,3.42
0,0
0,0
0,0
0,0
0.001757469,0.05
0.001760563,0.55
0,0.17
0,0.42
0,0.28
0,0.13
0,0
0,0
0,0
0.001683502,0.2
0.001689189,0.12
0.001706485,3.97
0.001709402,4.72
0,0.24
0,0
0.001886792,0.12
0.002016129,8.57
0.002207506,0
0.001694915,0.2
0,0.41
0.001675042,0.03
0,0.74
0.001677852,1.15
0.001692047,0.14
0,0.58
0.001730104,0.13
0.001730104,0.65
0.001760563,0.49
0.001766784,0.54
0.001883239,0.78
0.001937984,2.81
0,0.37
0,0.37
0.001669449,0.09
0.001675042,0.01
0,1.67
0.001686341,0.24
0.001915709,0.04
0.001709402,0.38
0.001718213,0.04
0,0.62
0.002155172,0.28
0.001669449,0.54
0.001865672,0.06
0.001669449,0.36
0.001757469,0.38
0.001675042,0.14
0.001686341,0.25
0.001926782,0.13
0.001669449,0.58
0.001672241,0
0.001675042,0.77
0,0.89
0.001724138,0.41
0.00209205,5.94
0,0
0,0.32
0.001669449,0.1
0.001672241,0.4
0.001680672,0.07
0.001669449,0.09
0.001703578,0.11
0.002057613,0.01
0.002061856,0.21
0.001890359,0.41
0.001984127,0.51
0,0
0,0
0.001760563,6.09
0.002114165,0.13
0.001779359,0
0.001669449,0.36
0,0.05
0.001675042,0.04
0.001692047,0.39
0,4.56
0.00170068,0.09
0,0.33
0.00174216,0.28
0,0.1
0,0.53
0.002053388,1.78
0.002164502,0
0,0.28
0.002227171,0
0,0
0.002392344,0
0.001669449,0.74
0.001672241,0.14
0.001675042,0.28
0.002207506,0.16
0.002283105,0.29
0.002369668,0
0,0.3
0.001669449,0.24
0.001672241,0.56
0.001675042,0.76
0.001677852,0.4
0.001745201,2.85
0.001766784,2.69
0.001872659,3.22
0,0.3
0.002074689,0.11
0.002257336,0.25
0.001697793,0.68
0.001669449,0.37
0,3.24
0.001669449,0.13
0.001694915,0.07
0.001712329,0
0.001709402,0.41
0,0.65
0.001669449,0.21
0.001677852,0.34
0.001680672,0.48
0.001683502,0.31
0.001686341,0.56
0.001669449,0.21
0,1.64
0,0.59
0,0
0.001692047,1.25
0,0.23
0.001683502,0.58
0.001845018,0.28
0.001669449,0.06
0.001798561,0.25
0.001949318,0
0.002114165,0
0.001669449,0.04
0,0.03
0,0.13
0.001669449,0.2
0,0.51
0,0.03
