Color,Timeratio,TimeInt,MoveNumber,eva,Termination,Piece
0,5.365853659,11,25,6.55,0,Bishop
1,23.52941176,4,44,-5.96,1,Pawn
0,1.818181818,2,38,7.53,0,Rook
0,2.921348315,13,23,-11,0,Bishop
0,0.251256281,1,62,0,0,Knight
1,0.438596491,2,21,-13.79,0,Queen
0,2.317880795,7,25,11.02,0,Rook
0,0.257069409,1,31,11.43,0,Rook
1,0.51457976,3,5,-5.46,0,Knight
1,3.307888041,13,25,-5.4,0,Pawn
0,2.465753425,9,21,13.09,0,Rook
0,1.210653753,5,20,6.62,0,Pawn
1,2.089552239,7,19,-12.84,0,Pawn
0,0.642398287,3,25,10,0,Queen
0,4.218362283,17,18,11,0,Rook
1,0.92879257,3,25,-8.98,0,Bishop
0,1.318681319,6,23,1.72,0,Rook
0,1.20240481,6,17,18.77,0,Knight
0,0.378787879,1,51,17.37,0,King
1,4.044117647,11,30,13.08,0,Rook
1,0.638297872,3,25,-15.44,0,King
0,1.39275766,5,29,17.46,0,Bishop
0,3.947368421,3,47,77.82,0,Pawn
0,1.165501166,5,26,10.38,0,Knight
0,7.407407407,2,45,0,1,King
1,1.089324619,5,27,-11.73,0,Rook
1,5.247813411,18,61,0,0,King
0,1.939058172,7,23,7.38,0,Knight
1,2.118644068,5,20,3.45,0,Knight
1,1.361867704,7,15,-12.62,0,Queen
1,1.968503937,10,13,-14.38,0,Knight
1,1.351351351,6,29,-5.74,0,Pawn
0,1.598173516,7,22,11.62,0,Queen
1,1.914893617,9,27,-10.67,0,Knight
0,4.359673025,16,34,19.7,1,Queen
0,1.995012469,8,21,15.17,0,Queen
0,1.327433628,6,22,14.37,0,Queen
1,0.796812749,4,16,-6.46,0,Knight
0,3.299492386,13,21,10.45,1,Queen
1,0.706713781,4,6,-8.55,0,Queen
1,0.732600733,4,19,10.61,0,Bishop
1,0.668896321,2,32,-7.92,0,Pawn
0,1.724137931,6,23,1.93,0,Queen
1,1.604278075,3,31,-12.36,0,Knight
1,1.017811705,4,25,-13.68,0,Queen
0,1.474201474,6,26,1.84,0,Knight
1,0.709219858,2,39,2.55,0,King
1,0.167785235,1,4,0.76,0,Knight
0,9.322033898,11,36,12.77,1,Queen
0,1.408450704,1,68,0,0,Rook
1,0.287356322,1,26,-9.29,0,Rook
1,3.291139241,13,27,-24.18,0,Rook
1,0.619834711,3,33,-11.67,0,Bishop
1,1.663201663,8,22,-6.1,0,Bishop
1,0.182481752,1,10,-15.41,0,Queen
1,1.123595506,3,31,-11,0,Queen
1,0.303030303,1,33,-11.54,0,Queen
1,3.816793893,5,41,-71.79,0,Queen
1,0.67114094,3,21,-9.67,0,Bishop
1,3.125,7,36,-10.79,0,Rook
1,0.290697674,1,45,-21.22,0,King
0,0.456621005,2,30,-16.09,0,King
1,0.563380282,2,27,-11.11,0,Queen
0,0.396039604,2,24,9,0,Knight
1,3.348214286,15,20,-10.58,0,Knight
0,1.785714286,3,26,11.08,0,Knight
1,1.612903226,4,37,-7.93,0,Rook
0,0.263852243,1,34,13.99,0,King
0,1.768172888,9,16,6.6,0,Bishop
1,2.864583333,11,29,-9.47,0,Pawn
0,3.248259861,14,23,8.46,0,Rook
0,2.836879433,4,41,-67.72,1,King
0,2.097902098,3,34,7.59,0,Knight
1,1.333333333,3,41,4.97,0,King
1,1.265822785,2,50,-0.74,1,Queen
1,8.455882353,23,20,13.92,0,Knight
0,0.240384615,1,45,1.7,0,King
1,1.8,9,18,7.1,0,Bishop
1,1.426024955,8,14,-8.08,0,Queen
0,4.716981132,5,31,18.84,0,Knight
1,1.079136691,6,7,-19.17,0,Bishop
0,5.483028721,21,28,13.46,0,Queen
0,13.39563863,43,23,3.17,0,Pawn
0,0.406504065,2,26,12.46,0,Queen
0,3.260869565,15,15,-8.06,0,Bishop
0,4.199475066,16,24,-5.55,0,Rook
1,1.712328767,5,36,-7.49,1,Pawn
1,3.594771242,11,34,11.23,0,Knight
0,0.634249471,3,21,11.11,0,Queen
0,1.535087719,7,27,-9.62,0,Pawn
1,2.197802198,10,14,1.12,0,Pawn
1,0.735294118,1,72,0,0,King
0,12.5,2,43,12.87,1,Rook
0,2.05655527,8,21,2.22,0,Bishop
0,0.837988827,3,27,6.48,0,Knight
0,3.711340206,18,18,9.04,0,Bishop
